Table of Measured Values,,,,,,
Task,T285,,,,,
Scope 1/1, Sample 1/2 (CRM5),,,,,
Result,TitrationEP2,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,190.8,21.4,NaN,,
0.0005,1,190.6,21.4,0.0005,,
0.002,2,190.7,21.4,0.0015,,
0.005,3,190.9,21.4,0.0025,,
0.0085,4,190.8,21.4,0.003,,
0.015,5,191.3,21.4,0.0055,,
0.0235,6,191.8,21.4,0.007,,
0.031,7,192.4,21.4,0.007,,
0.0395,8,193.7,21.4,0.0075,,
0.048,9,194.5,21.4,0.0075,,
0.0565,10,195.4,21.4,0.007,,
0.065,11,196.2,21.4,0.007,,
0.073,12,197.5,21.4,0.0065,,
0.081,13,198,21.4,0.0075,,
0.089,14,198.8,21.4,0.0075,,
0.0975,15,199.7,21.4,0.007,,
0.106,16,200.5,21.4,0.007,,
0.1145,17,201.4,21.4,0.007,,
0.122,18,201.8,21.4,0.007,,
0.1305,19,202.6,21.4,0.0075,,
0.139,20,203.4,21.4,0.0075,,
0.1475,21,204,21.4,0.007,,
0.156,22,204.5,21.4,0.007,,
0.1645,23,205.3,21.4,0.007,,
0.172,24,205.7,21.4,0.007,,
0.1805,25,206.4,21.4,0.0075,,
0.189,26,207,21.4,0.007,,
0.197,27,207.7,21.4,0.0065,,
0.2055,28,208.1,21.4,0.007,,
0.214,29,208.7,21.4,0.007,,
0.2215,30,209.3,21.4,0.007,,
0.23,31,209.8,21.4,0.0075,,
0.2385,32,210.5,21.4,0.007,,
0.247,33,210.7,21.4,0.007,,
0.2555,34,211.3,21.4,0.007,,
0.264,35,211.7,21.4,0.0075,,
0.2715,36,212.2,21.4,0.007,,
0.28,37,212.7,21.4,0.0075,,
0.288,38,213.1,21.4,0.0065,,
0.2965,39,213.6,21.4,0.007,,
0.305,40,214.1,21.4,0.007,,
0.3135,41,214.5,21.4,0.0075,,
0.321,42,214.9,21.4,0.007,,
0.3295,43,215.3,21.4,0.0075,,
0.338,44,215.8,21.4,0.007,,
0.3465,45,216,21.4,0.007,,
0.355,46,216.6,21.4,0.007,,
0.363,47,217,21.4,0.0075,,
0.371,48,217.3,21.4,0.0075,,
0.379,49,217.7,21.4,0.0075,,
0.3875,50,218.2,21.4,0.007,,
0.396,51,218.3,21.4,0.007,,
0.4045,52,218.9,21.4,0.007,,
0.412,53,219.3,21.4,0.007,,
0.4205,54,219.6,21.4,0.0075,,
0.429,55,220,21.4,0.0075,,
0.4375,56,220.3,21.4,0.007,,
0.446,57,220.6,21.4,0.007,,
0.4545,58,221,21.4,0.007,,
0.462,59,221.1,21.4,0.007,,
0.4705,60,221.6,21.4,0.0075,,
0.4785,61,221.9,21.4,0.0075,,
0.487,62,222.2,21.4,0.007,,
0.4955,63,222.6,21.4,0.007,,
0.504,64,222.9,21.4,0.007,,
0.5115,65,223.2,21.4,0.007,,
0.52,66,223.7,21.4,0.0075,,
0.5285,67,223.7,21.4,0.0075,,
0.537,68,224.1,21.4,0.007,,
