Date,CRM value,Batch value,% off,Batch #,,TA_evap
3/13/2018,2222,2207.03,0.67828711,169,,
3/14/2018,2217.516329,2207.03,0.475133043,169,,
3/14/2018,2219.690094,2207.03,0.573625805,169,,
3/14/2018,2225.214663,2207.03,0.823942732,169,,
3/14/2018,2221.424639,2207.03,0.65221766,169,,
3/14/2018,2227.608996,2207.03,0.932429381,169,,
3/26/2018,2216.865939,2207.03,0.445664021,169,,
3/26/2018,2229.6,2207.03,1.022641287,169,end of sample,
3/28/2018,2219.405571,2207.03,0.56073414,169,,
3/28/2018,2211,2207.03,0.179879748,169,,
3/28/2018,2217,2207.03,0.451738309,169,end of sample,
3/29/2018,2212.62585,2207.03,0.25354662,169,With Junk,
3/29/2018,2223.824047,2207.03,0.760934226,169,Without Junk,
3/29/2018,2225.779054,2207.03,0.849515133,169,With Junk,end of sample
4/2/2018,2222.953029,2207.03,0.721468644,169,With Junk,end of sample
4/4/2018,2222.771646,2207.03,0.713250226,169,With Junk,end of sample
4/9/2018,2221.135232,2207.03,0.639104668,169,With Junk,end of sample
4/18/2018,2224.652652,2207.03,0.798478115,169,With Junk,
4/18/2018,2223.997979,2207.03,0.768815054,169,end of sample,
4/20/2018,2220.292006,2207.03,0.600898307,169,end of sample,
4/23/2018,2216.395696,2207.03,0.424357453,169,end of sample,
4/25/2018,2218.264531,2207.03,0.509033897,169,end of sample,
4/30/2018,2221.858778,2207.03,0.671888359,169,With Junk,end of sample
5/9/2018,2217.610439,2207.03,0.479397155,169,With Junk,end of sample
5/23/2018,2214.167284,2207.03,0.323388633,169,With Junk,end of sample
2/7/2019,2189.902226,2207.03,-0.776055354,169,CRM bottle already opened ,
2/7/2019,2204.73277,2207.03,-0.104086929,169,New CRM bottle (opened 02/07),
2/8/2019,2206.223535,2207.03,-0.036540738,169,New CRM bottle (opened 02/07),
2/14/2019,2219.88,2207.03,0.582230418,169,New CRM bottle (opened 02/14),
2/15/2019,2210.795,2207.03,0.170591247,169,New CRM bottle (opened 02/14),
2/18/2019,2216.788,2207.03,0.44213264,169,New CRM bottle (opened 02/14),
2/19/12019,2226.374,2207.03,0.876472001,169,New CRM bottle (opened 02/19),
8/28/2019,2215.469,2207.03,0.382369066,169,Opened CRM (08/08/2019),
8/28/2019,2207.497,2207.03,0.021159658,169,Opened CRM (08/08/2019),
8/28/2019,2207.28,2207.03,0.01132744,169,Opened CRM (08/08/2019),
8/30/2019,2211.437,2207.03,0.199680113,169,Opened CRM (08/08/2019),
8/30/2019,2212.166,2207.03,0.232710928,169,Opened CRM (08/30/2019),
8/31/2019,2208.102,2207.03,0.048572063,169,Opened CRM (08/08/2019),
9/1/2019,2215.784199,2207.03,0.396650635,169,Opened CRM (08/08/2019),
9/2/2019,2215.163061,2207.03,0.36850704,169,Opened CRM (8/30/2019),
9/4/2019,2218.903403,2207.03,0.537981023,169,Opened CRM (8/30/2019),
9/5/2019,2219.053,2207.03,0.544759247,169,Opened CRM (8/30/2019),
9/7/2019,2212.928127,2207.03,0.267242737,169,Opened CRM (8/30/2019),
9/8/2019,2256.83872,2207.03,2.25682115,169,Opened CRM (8/30/2019),
9/8/2019,2221.564071,2207.03,0.658535281,169,Opened CRM (9/8/2019),
9/9/2019,2214.837664,2207.03,0.353763361,169,"Opened CRM (9/8/2019), Dani B",
9/10/2019,2218.791433,2207.03,0.532907719,169,"Opened CRM (9/8/2019), Dani B",
9/11/2019,2217.19,2207.03,0.460347163,169,run at beginning of day with new probe,
9/12/2019,2218.23,2207.03,0.507469314,169,run at beginning of day,
9/15/2019,2091.322366,2207.03,-5.242685151,169,opened crm (9/8/2019); ph calibration off?,
10/4/2019,2275.495037,2207.03,3.10213442,169,opened crm (8/7/2019),
10/4/2019,2268.801497,2207.03,2.798851699,169,opened crm (8/7/2019),
10/5/2019,2286.554624,2207.03,3.603241658,169,opend crm (10/5/2019,
10/5/2019,2281.554923,2207.03,3.37670637,169,opened crm (10/5/2019,
10/6/2019,2217.713193,2207.03,0.484052898,169,Raw TA;opened crm (10/5/2019,
10/6/2019,2210.135585,2207.03,0.14071331,169,TA Evap;opened crm (10/5/2019,
10/9/2019,2247.412,2207.03,1.829698735,169,opened crm…new crm needed,
10/10/2019,2365.542,2207.03,7.182140705,169,Raw TA opened crm 10/10/19,
10/10/2019,2357.459,2207.03,6.815901913,169,TA evap; opened crm 10/10/19,
10/16/2019,3167.93567,2207.03,43.53840546,169,"junk 5 of 6 ""Not Ok"".  Junk 6 and CRM both inconsistent",
