SampleID,TA,Mass,Sample.Index,
Junk1,2434.107249,60.0868,1,
Junk2,2398.518252,59.7559,2,
CRM,2238.046292,60.2281,3,slightly higher but beginning of day was 0.996
PreCabralD3_Dil1rep1,2400.518495,59.9674,4,
PreCabralD3_Dil1rep2,2385.596249,59.9387,5,
PreCabralD3_Dil1rep3,2390.809165,60.149,6,
PreCabralD3_Dil2rep1,2370.36826,60.3885,7,
PreCabralD3_Dil2rep2,2445.446248,59.8153,8,
PreCabralD3_Dil2rep3,2376.251623,60.1789,9,
PreCabralD3_Dil3rep1,2364.080845,60.231,10,
PreCabralD3_Dil3rep2,2448.43872,59.8324,11,
PreCabralD3_Dil3rep3,2378.482037,59.9933,12,
PreCabralD3_Dil4rep1,2459.026277,59.9211,13,
PreCabralD3_Dil4rep2,2465.917798,59.7523,14,
PreCabralD3_Dil4rep3,2378.506751,60.1366,15,
PreCabralD3_Dil5rep1,2436.517009,60.1035,16,
PreCabralD3_Dil5rep2,2365.401654,60.0254,17,
PreCabralD3_Dil5rep3,2440.084932,60.0864,18,
PreCabralD3_Dil6rep1,2361.442511,60.1889,19,
PreCabralD3_Dil6rep2,2435.044621,60.1925,20,
PreCabralD3_Dil6rep3,2434.67646,60.0517,21,
PreCabralD3_Dil7rep1,2448.407966,60.0097,22,
PreCabralD3_Dil7rep2,2445.466884,60.3165,23,
PreCabralD3_Dil7rep3,2445.302982,60.1466,24,
PreCabralD3_Dil8rep1,2439.396966,60.2241,25,
PreCabralD3_Dil8rep2,2442.486618,60.1551,26,
PreCabralD3_Dil8rep3,2441.826565,60.2365,27,
PreCabralD3_Dil9rep1,2448.359321,59.7017,28,
PreCabralD3_Dil9rep2,2381.250425,59.8281,29,
PreCabralD3_Dil9rep3,2450.59413,60.1411,30,
