SampleID,TA,Mass,Sample.Index,TA_evap
junk,2352.012193,59.6823,1,2352.012193
D_22_3_BC,2144.536872,59.7787,2,2143.312122
N_22_4_AI,2369.678585,60.0083,3,2366.973473
N_17_2_BC,2164.520574,60.0614,4,2160.816317
N_17_4_AI,2280.107987,59.842,5,2274.908197
N_17_3_AI,2221.337078,60.1305,6,2215.008483
N_17_2_AI,2273.218224,60.0313,7,2265.450964
N_9_2_AI,2100.933821,60.0399,8,2092.563567
N_25_5_BC,2325.593393,60.1783,9,2315.010488
D_15_5_BC,1813.128569,59.9389,10,1803.851617
N_30_3_BC,2388.299942,59.9157,11,2374.730056
D_14_2_BC,2164.183779,59.8996,12,2150.665311
N_16_2_BC,2173.558056,60.0117,13,2158.755163
N_22_2_AI,2321.089173,59.8714,14,2303.973938
N_8_3_AI,2311.795759,59.8222,15,2293.448174
D_14_2_AI,2148.563285,59.8839,16,2130.303541
N_23_4_BC,2186.006823,59.8661,17,2166.201552
N_24_1_BC,2026.47918,59.7941,18,2006.982776
